,In which country were you born?,In which city were you born?,"In which languages (spoken, not programming!) are you proficient? (Please list languages separated by commas). ",Which is your preferred OS?,Which is your preferred mobile OS?,"What field(s) do you think can benefit the most from visualization? (If you have multiple answers, please separate them with a comma)",Please rank the animals you like most in the following list.   [First Choice],Please rank the animals you like most in the following list.   [Second Choice],Please rank the animals you like most in the following list.   [Third Choice ],What is your favorite color?,What is your favorite number?,What temperature is it outside right now? (In Celsius) ,"On average, how many cups of coffee do you drink each day?",What time do you typically wake up? ,What time do you typically go to bed? ,What is your favorite visualization? 
61,united states,gainesville,"english, mandarin",windows,apple ios,business,cat,hedgehog,flying squirrel,red,7,-4,0.5,8:00:00 AM,11:30:00 PM,"bar charts. simple, easy"
64,united states,"edison, nj","english, gujurati",apple,apple ios,finance,elephant,dolphin,flying squirrel,blue,21,0,0,7:30:00 AM,11:00:00 PM,bar graphs
65,united states,"boston, ma","english, mandarin",apple,apple ios,"college websites (just the ux/ui), photography, restaurants",cat,sea turtle,moose,pastel mint,13,-3,0.5,10:00:00 AM,2:00:00 AM,heat map
67,united states,"newington, ct",english,apple,apple ios,"education,medicine,sports",dolphin,elephant,llama,purple,14,-3,0,9:30:00 AM,1:30:00 AM,scatterplot
68,united states,"newington, ct",english,apple,apple ios,"education,medicine,sports",dolphin,elephant,llama,purple,14,-3,0,9:30:00 AM,1:30:00 AM,scatterplot
69,china,"beijing, china","chinese, english",apple,apple ios,find out the relationship between data,cat,sea turtle,elephant,purple,8,-3,0,9:00:00 AM,1:00:00 AM,"the gaps between white and black america, in charts from new york times"
70,united states,"greenfield, ma",english,windows,apple ios,"finance, medical",llama,sea turtle,mouse,light blue,9,-1,1,10:00:00 AM,2:00:00 AM,"line charts, heatmaps"
71,united states,"providence, ri",english,apple,apple ios,creating powerful visual slides for clients ,sea turtle,dolphin,elephant,blue,16,-1,2,7:30:00 AM,12:00:00 PM,bar chart
72,united states,"chicago, il",englsih,windows,apple ios,"data science, marketing, finance, consulting",sea turtle,dolphin,elephant,purpler,10,-1,1,9:00:00 AM,12:00:00 AM,scatterplot
73,unites states,new york city,"english, italian",windows,apple ios,"every field, urban informatics",cat,flying squirrel,hedgehog,yellow,759,0,0,8:15:00 AM,1:00:00 AM,"not sure, but i do love maps as a whole"
76,singapore,singapore,english,windows,apple ios,"ui/ux, web/ mobile development",dog,elephant,dolphin,pink,64,-2,0,9:00:00 AM,1:00:00 AM,fantasy football statistics
77,singapore,singapore,english,windows,apple ios,"ui/ux, web/ mobile development",dog,elephant,dolphin,pink,64,-2,0,9:00:00 AM,1:00:00 AM,fantasy football statistics
78,united states,storrs,"english, chinese",apple,apple ios,"finance, healthcare",dolphin,cat,llama,black,7,-2,1,6:30:00 AM,12:00:00 AM,violinplot
79,united states,"rockville, md","english, korean",windows,apple ios,data science,dolphin,sea turtle,dog,blue,9,-2,0.5,8:00:00 AM,12:00:00 AM,pie charts
80,united states,"manhasset, ny","english, french",windows,apple ios,i believe that unbiased visualization is an extremely powerful tool for influencing public opinion to push for policy change at a political level,cat,moose,hedgehog,pink,17,-2,0,8:30:00 AM,1:30:00 AM,https://www.stevengbraun.com/dev/radical-reactions/ this visualization is a really cool intersection of physics and linguistics
83,united states,"morristown, nj","english, hindi",apple,apple ios,"healthcare, transportation, retail, finance",dolphin,elephant,llama,blue,8,-1,0,8:00:00 AM,12:30:00 AM,maps
84,united states,"newton, ma","english, french, marathi, hindi",apple,apple ios,"right now, i think with all the discovery of new planets and stars, i think visualization would be a great interactive way to learn more about them.",llama,sea turtle,elephant,purple,24,-1,1,10:00:00 AM,11:00:00 PM,i like the pudding!
85,united states,"newton, ma","english, marathi, hindi, french (a few classes in greek and mandarin!)",apple,apple ios,i think in astronomy with the discovery of planets and stars it might be helpful to create these tools to keep track and learn more.,llama,sea turtle,elephant,purple,24,-1,1,10:00:00 AM,11:00:00 PM,i like pudding.cool!
87,united states,"newton, ma","english, chinese",windows,andriod,healthcare,dog,cat,dolphin,red,19,-2,2,8:30:00 AM,1:30:00 AM,scatterplot
88,brazil,são paulo,"portuguese, english, spanish",apple,apple ios,finance,elephant,sea turtle,dolphin,blue,69,-1.67,2,8:00:00 AM,12:00:00 AM,the water lily pond by monet
89,united states,"chicago, il",english,apple,apple ios,epidemiology ,sea turtle,moose,flying squirrel,orange,10,1,0,9:00:00 AM,1:00:00 AM,not sure
90,united states,"chicago, il",english,apple,apple ios,epidemiolegy,sea turtle,moose,flying squirrel,orange,10,1,0,9:00:00 AM,1:00:00 AM,not sure
91,united states,"san jose, ca","english, telugu, hindi",apple,apple ios,"analytics, sciences, business, design",dolphin,llama,elephant,white,8,4,0.5,6:00:00 AM,12:00:00 AM,https://www.washingtonpost.com/graphics/national/eclipse/
93,canada,"toronto, canada",english,apple,apple ios,"finance, business intelligence",dog,moose,sea turtle,blue,13,2,2,8:00:00 AM,12:00:00 AM,scatter plot
94,united states,"chicago, il",english,linux/unix,andriod,social justice/research,moose,llama,hedgehog,purple,77,1,1,9:00:00 AM,12:30:00 AM,https://digg.com/travel/link/24-hours-of-flights-between-europe-and-the-united-states-visualized-9ts0hmu9ja
96,united states,"glendale, az",english,windows,apple ios,political and social data,cat,elephant,flying squirrel,purple,10,-4,1,6:00:00 AM,10:00:00 PM,histogram
97,united states,"minneapolis, mi",english,apple,apple ios,"marketing, human-computer interaction, research",hedgehog,sea turtle,dolphin,cerulean,22,-4,0,7:00:00 AM,11:00:00 PM,word cloud
98,united states,"boston, ma",mandarin,apple,apple ios,"music, fitness, city planning",sea turtle,cat,moose,pastel mint green,13,-4,0,10:00:00 AM,2:00:00 AM,heat map
99,united states,"everett, wa","english, telugu",windows,apple ios,"healthcare, psychology, economics, humanities",cat,dog,llama,green,7,-4,0,9:15:00 AM,2:30:00 AM,after babylon
100,bulgaria,"silistra, bulgaria","english, bulgarian",windows,apple ios,healthcare,cat,flying squirrel,moose,purple,0,-9,1,9:30:00 AM,1:00:00 AM,i am big into soccer analytics so i really enjoy viewing visualizations of soccer event data and advanced stats.
101,united states,lafayette,"english, french ",apple,apple ios,"big data, cloud computing",dog,moose,dolphin,blue,2,-8,2,9:30:00 AM,1:00:00 AM,flow of data among many applications 
102,ethiopia,"addis abeba, ethiopia","english, amharic",windows,apple ios,i would be interested in using it for design,elephant,cat,sea turtle,yellow,8,-4.44,0,8:00:00 AM,12:00:00 AM,polls on map of usa
103,united states,"yonkers, ny","english, korean",windows,apple ios,i think data and business analysts can benefit the most from it because they can convey the meaning of large data sets to their managers,dog,cat,moose,blue,11,-9,0,10:00:00 AM,3:00:00 AM,histogram
104,united states,"chicago, il","english, spanish",windows,apple ios,"public service, finance, tech",cat,dolphin,flying squirrel,red,8,-10,1.5,8:00:00 AM,1:00:00 AM,"object based, whether it be a map with specific regions to click on, or objects on a page that describe the type of data you are looking at"
105,india,"hyderabad, india","english, telugu ",apple,apple ios,"marketing, politcs",llama,cat,elephant,orange,21,-11.11,0.3,11:00:00 AM,2:30:00 AM,the kobe bryant shot chart.
106,united states,"colorado springs, co",spanish,windows,apple ios,"machine learning, healthcare",dog,flying squirrel,dolphin,sunset orange,13,8,0,5:00:00 AM,9:00:00 PM,a mosaic
